"","Pixel_Number","Log_Frequency","Log_Brightness_Temperature","Fit","Concave/Convex"
"2157","2157","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53983099  2.3336506   4.40701663 -3.19627293  1.3385115   3.69178517]","[-2.45975151  7.78997865]","Convex"
"2158","2158","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.552158    2.42359835  4.51816278 -3.18501336  1.41138773  3.80329627]","[-2.49864747  7.95731798]","Convex"
"2159","2159","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5502796   2.37934799  4.47508837 -3.19085365  1.39460885  3.75985225]","[-2.48299765  7.89154261]","Convex"
"2160","2160","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53515336  2.33362569  4.38966632 -3.2134589   1.33142046  3.67320293]","[-2.45922221  7.77781057]","Convex"
"2161","2161","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54500142  2.38173315  4.48513292 -3.20345455  1.39275288  3.76826684]","[-2.49071328  7.91139772]","Convex"
"2162","2162","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53657157  2.33473932  4.4000396  -3.19379423  1.33345927  3.68582071]","[-2.45717715  7.78046796]","Convex"
"2163","2163","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54832434  2.39067071  4.46860092 -3.18608962  1.39331962  3.75326204]","[-2.48020713  7.88438922]","Convex"
"2164","2164","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55530213  2.42677389  4.53171095 -3.19194467  1.43639105  3.81484618]","[-2.50476594  7.9811647 ]","Convex"
"2165","2165","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56220191  2.4680796   4.53788093 -3.18218658  1.45779993  3.82224387]","[-2.50581375  7.99932602]","Convex"
"2166","2166","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55857178  2.43686978  4.55212569 -3.17259681  1.43890452  3.83626894]","[-2.50648761  7.99839801]","Convex"
"2167","2167","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56729822  2.47061976  4.5378259  -3.16390452  1.45875489  3.82287787]","[-2.50006038  7.98923377]","Convex"
"2168","2168","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54228643  2.34794058  4.40659109 -3.19220838  1.35309667  3.69223259]","[-2.45900484  7.79397791]","Convex"
"2169","2169","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55102708  2.39620439  4.49258067 -3.18986586  1.39812367  3.7772726 ]","[-2.4897008   7.91813481]","Convex"
"2170","2170","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54974562  2.3772247   4.46375974 -3.19816288  1.38579432  3.74815768]","[-2.48120657  7.88000904]","Convex"
"2171","2171","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55391771  2.41305085  4.49250266 -3.19706234  1.40686866  3.77642835]","[-2.49237837  7.92835488]","Convex"
"2172","2172","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56015811  2.43561574  4.50005447 -3.17057223  1.42482232  3.78453543]","[-2.48774004  7.93134792]","Convex"
"2173","2173","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57127621  2.47303922  4.54321226 -3.16359162  1.45438284  3.82828687]","[-2.50163933  7.99544811]","Convex"
"2174","2174","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56293491  2.4488792   4.50324301 -3.18487547  1.42841366  3.78790845]","[-2.49366474  7.94843402]","Convex"
"2175","2175","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5757044   2.49432642  4.56688248 -3.17009399  1.46811649  3.85208767]","[-2.51256626  8.03670817]","Convex"
"2176","2176","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5511504   2.30718142  4.36785023 -3.25406912  1.291314    3.65243952]","[-2.46113926  7.76040731]","Convex"
"2177","2177","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54779124  2.30048581  4.31556076 -3.26300345  1.25828894  3.60009401]","[-2.44588856  7.695419  ]","Convex"
"2178","2178","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55151068  2.31033093  4.3860217  -3.25408443  1.30140993  3.67068933]","[-2.46752749  7.78502876]","Convex"
"2179","2179","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54783797  2.3045735   4.34177536 -3.26495276  1.27249358  3.62610544]","[-2.45565742  7.73175969]","Convex"
"2180","2180","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5449809   2.2973964   4.32599166 -3.26517758  1.24938748  3.61078069]","[-2.4503826   7.70756647]","Convex"
"2181","2181","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54637214  2.30387201  4.34002591 -3.24840976  1.27694872  3.62461315]","[-2.4501904   7.72042023]","Convex"
"2182","2182","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54786355  2.30161984  4.3234042  -3.25481368  1.27153786  3.60786664]","[-2.44607997  7.70228381]","Convex"
"2183","2183","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55039623  2.31459843  4.3965551  -3.24045141  1.32156572  3.68051206]","[-2.46717042  7.79366812]","Convex"
"2184","2184","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55152161  2.32565894  4.3926057  -3.2584481   1.30710987  3.67697055]","[-2.47196483  7.80126472]","Convex"
"2185","2185","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54965207  2.31824403  4.34848402 -3.26315076  1.28208794  3.63288546]","[-2.45802551  7.74452517]","Convex"
"2186","2186","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55233633  2.34431026  4.39042868 -3.26136595  1.30944721  3.6754798 ]","[-2.47322954  7.80702526]","Convex"
"2187","2187","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55379744  2.33896522  4.37077508 -3.25069902  1.31138268  3.65565881]","[-2.46268403  7.77501451]","Convex"
"2188","2188","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55308803  2.32077841  4.38942534 -3.23790485  1.31405462  3.67454089]","[-2.46429033  7.78479332]","Convex"
"2189","2189","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55520026  2.34667644  4.45352157 -3.22851345  1.36300952  3.7374646 ]","[-2.48447347  7.87181098]","Convex"
"2190","2190","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5600066   2.35858148  4.45077748 -3.22121704  1.36244596  3.73539293]","[-2.48169527  7.86783299]","Convex"
"2191","2191","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56119057  2.38844927  4.48378108 -3.21702368  1.40069775  3.76782114]","[-2.49316258  7.92022254]","Convex"
"2192","2192","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54853836  2.34412639  4.4016749  -3.23541251  1.32787012  3.68582494]","[-2.46941228  7.80762452]","Convex"
"2193","2193","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55017536  2.39495664  4.46798086 -3.21830024  1.37456624  3.75253293]","[-2.48989257  7.90138525]","Convex"
"2194","2194","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5518549   2.35527916  4.44953465 -3.23227904  1.36380109  3.73293088]","[-2.48499059  7.87208978]","Convex"
"2195","2195","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55309552  2.40743149  4.48394971 -3.2179413   1.39572086  3.768165  ]","[-2.49554998  7.92722649]","Convex"
"2196","2196","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5527427   2.43539675  4.49614357 -3.20433092  1.40840835  3.78103831]","[-2.49744441  7.94521907]","Convex"
"2197","2197","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55883844  2.48165544  4.53670145 -3.20050703  1.42997236  3.82151105]","[-2.5124114   8.00983808]","Convex"
"2198","2198","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55657358  2.45923138  4.51909231 -3.19642724  1.42783146  3.80309695]","[-2.50381378  7.97812377]","Convex"
"2199","2199","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5613355   2.49580142  4.5479945  -3.18798706  1.44041926  3.83260078]","[-2.51307477  8.02186138]","Convex"
"2200","2200","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55569584  2.38449172  4.46896786 -3.22647031  1.38805189  3.75303196]","[-2.49127817  7.90522723]","Convex"
"2201","2201","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5567716   2.43247417  4.49121663 -3.21883056  1.4082295   3.7755133 ]","[-2.49940619  7.94621642]","Convex"
"2202","2202","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56159363  2.41158955  4.50512601 -3.21721022  1.41880233  3.78975775]","[-2.50192908  7.95669568]","Convex"
"2203","2203","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56173011  2.43715673  4.51861087 -3.21581092  1.41922672  3.80348169]","[-2.50779174  7.98076465]","Convex"
"2204","2204","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56010757  2.46900587  4.52022014 -3.20211461  1.42859661  3.80413053]","[-2.50613839  7.98580807]","Convex"
"2205","2205","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56295829  2.48883833  4.54810599 -3.18968912  1.44044097  3.83234875]","[-2.51297798  8.02042109]","Convex"
"2206","2206","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56249622  2.45728472  4.50758961 -3.20865992  1.42035041  3.79246037]","[-2.50297337  7.96966839]","Convex"
"2207","2207","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56446865  2.47987321  4.52001725 -3.20120959  1.43622236  3.8048202 ]","[-2.50608773  7.98971992]","Convex"
"2208","2208","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55515535  2.36100012  4.40821791 -3.24972428  1.33102228  3.69337586]","[-2.47647197  7.83002667]","Convex"
"2209","2209","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56057374  2.37115169  4.42610488 -3.22389348  1.35428803  3.71059157]","[-2.47470394  7.84214746]","Convex"
"2210","2210","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56023692  2.38479033  4.45388417 -3.22864833  1.36392809  3.7390807 ]","[-2.48666579  7.88505223]","Convex"
"2211","2211","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56773503  2.40920594  4.47620137 -3.19783862  1.38986999  3.7612981 ]","[-2.48567669  7.90473062]","Convex"
"2212","2212","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56782468  2.39953124  4.50683166 -3.19568179  1.40479206  3.79136517]","[-2.49483658  7.93944805]","Convex"
"2213","2213","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5693498   2.41739178  4.53690624 -3.19599878  1.43976417  3.82190662]","[-2.50604955  7.98714386]","Convex"
"2214","2214","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57439762  2.42999589  4.51624112 -3.17493265  1.43140264  3.80093989]","[-2.4928722  7.9516703]","Convex"
"2215","2215","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.574859    2.44117983  4.54882959 -3.17904725  1.44965902  3.83442321]","[-2.50602301  8.0005068 ]","Convex"
"2216","2216","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56508568  2.42084598  4.46700086 -3.21295459  1.39228156  3.75306765]","[-2.48810752  7.90740366]","Convex"
"2217","2217","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57228017  2.44633449  4.50547257 -3.18889078  1.42022981  3.79141665]","[-2.49482641  7.9514521 ]","Convex"
"2218","2218","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56999954  2.46790689  4.51911148 -3.20294742  1.43281864  3.8060355 ]","[-2.5053527   7.98596812]","Convex"
"2219","2219","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5744253   2.49187547  4.53643064 -3.19237737  1.45371346  3.82285432]","[-2.50895863  8.01082728]","Convex"
"2220","2220","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57709828  2.46465115  4.54413873 -3.17551833  1.44807665  3.82934311]","[-2.50451897  7.99965342]","Convex"
"2221","2221","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57673445  2.4747829   4.55243717 -3.17443232  1.45519536  3.83771633]","[-2.5076783   8.01348187]","Convex"
"2222","2222","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57908155  2.50738879  4.56612865 -3.17328341  1.47386237  3.8520055 ]","[-2.51377018  8.04280412]","Convex"
"2223","2223","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58294187  2.51259436  4.57288109 -3.14860094  1.48001854  3.8593017 ]","[-2.50867933  8.0388177 ]","Convex"
"2224","2224","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56895254  2.42346305  4.54300356 -3.20372314  1.43852484  3.82841163]","[-2.51096934  8.0012385 ]","Convex"
"2225","2225","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56560226  2.42789217  4.48890571 -3.21121013  1.41288153  3.77429698]","[-2.49527314  7.93784526]","Convex"
"2226","2226","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57060785  2.44030045  4.52959785 -3.19732725  1.43463093  3.81518552]","[-2.50533417  7.98593266]","Convex"
"2227","2227","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56668113  2.43383941  4.49509695 -3.20941581  1.4115573   3.78062564]","[-2.49718079  7.94604463]","Convex"
"2228","2228","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56439038  2.44457391  4.49654153 -3.21034574  1.41260627  3.78196938]","[-2.49882633  7.95213162]","Convex"
"2229","2229","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56700041  2.47969875  4.5405485  -3.20315861  1.44011051  3.82547575]","[-2.51352355  8.01625732]","Convex"
"2230","2230","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56683993  2.44303749  4.4919134  -3.20476744  1.41318858  3.77691315]","[-2.49513885  7.94229568]","Convex"
"2231","2231","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57091958  2.48816203  4.52913219 -3.18941564  1.43910018  3.8133228 ]","[-2.50547227  7.99598902]","Convex"
"2232","2232","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57369688  2.47244681  4.52432992 -3.184921    1.44407312  3.80968962]","[-2.50133354  7.98345346]","Convex"
"2233","2233","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57367069  2.46285457  4.52627465 -3.18728394  1.4344727   3.81156977]","[-2.50221565  7.98274281]","Convex"
"2234","2234","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58320863  2.51120151  4.56665823 -3.15148329  1.47392315  3.85299037]","[-2.50731583  8.03156859]","Convex"
"2235","2235","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58570283  2.50992746  4.55480969 -3.15612666  1.47082191  3.84061538]","[-2.50421468  8.01853785]","Convex"
"2236","2236","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57574723  2.46856145  4.51645937 -3.17838065  1.43402146  3.80069866]","[-2.49613095  7.96648866]","Convex"
"2237","2237","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57986235  2.52227259  4.53214591 -3.14841103  1.45682909  3.81581318]","[-2.49519503  7.98767006]","Convex"
"2238","2238","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58916951  2.53084548  4.55554869 -3.15022529  1.47650822  3.84063422]","[-2.50348492  8.02279908]","Convex"
"2239","2239","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59378298  2.59171872  4.60261808 -3.12236873  1.50764101  3.88721582]","[-2.51440999  8.08700597]","Convex"
"2240","2240","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56349904  2.50710729  4.50302481 -3.19442748  1.4170479   3.78807217]","[-2.50015748  7.97128993]","Convex"
"2241","2241","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56322504  2.50426869  4.52444353 -3.19009693  1.4261585   3.8088516 ]","[-2.50597021  7.99486336]","Convex"
"2242","2242","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56451453  2.50916746  4.47748173 -3.17886589  1.41410038  3.76239901]","[-2.4866552   7.93094613]","Convex"
"2243","2243","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56505636  2.51045876  4.48228891 -3.18645987  1.4124716   3.76696546]","[-2.49060698  7.94135147]","Convex"
"2244","2244","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56217211  2.48249178  4.56901395 -3.18621754  1.45422797  3.85330421]","[-2.51875944  8.04382523]","Convex"
"2245","2245","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56200121  2.44381429  4.5266004  -3.18105619  1.44356503  3.81120912]","[-2.50025793  7.97518104]","Convex"
"2246","2246","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56856601  2.50787392  4.56059542 -3.18413142  1.45785701  3.84538566]","[-2.51617477  8.04076158]","Convex"
"2247","2247","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57259617  2.49416929  4.60336269 -3.169188    1.48202419  3.88813833]","[-2.52506989  8.08259814]","Convex"
"2248","2248","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56568172  2.50022693  4.51890937 -3.18341231  1.42433519  3.80358717]","[-2.50160892  7.98249095]","Convex"
"2249","2249","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5666539   2.50786416  4.46672082 -3.19212288  1.41194677  3.75153176]","[-2.48659807  7.9247667 ]","Convex"
"2250","2250","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56892574  2.50156663  4.54873874 -3.19319262  1.44596901  3.83382203]","[-2.51450643  8.02812212]","Convex"
"2251","2251","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57338862  2.52220757  4.53778054 -3.18559994  1.44299514  3.82295945]","[-2.50929666  8.01615732]","Convex"
"2252","2252","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57250187  2.51458544  4.54571441 -3.18462863  1.45585547  3.83094187]","[-2.51125844  8.0246985 ]","Convex"
"2253","2253","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5793861   2.52378331  4.60449857 -3.16710994  1.50347402  3.88955384]","[-2.52581704  8.09491679]","Convex"
"2254","2254","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57878947  2.53913624  4.55362527 -3.16959682  1.47076763  3.83871731]","[-2.51022304  8.03480363]","Convex"
"2255","2255","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58361946  2.55754414  4.61886714 -3.15255797  1.5130432   3.90363726]","[-2.52797464  8.11551193]","Convex"
"2256","2256","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55802316  2.42868707  4.4924691  -3.18336827  1.42389484  3.77659299]","[-2.48867785  7.92735294]","Convex"
"2257","2257","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56083431  2.44634657  4.52191017 -3.19114268  1.43141936  3.80606827]","[-2.50197742  7.9744484 ]","Convex"
"2258","2258","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56853535  2.48368928  4.56978688 -3.17425057  1.47529946  3.85452482]","[-2.51473678  8.04066865]","Convex"
"2259","2259","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56863255  2.48457608  4.55211031 -3.18937168  1.46408327  3.83708234]","[-2.51331504  8.02696535]","Convex"
"2260","2260","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57073132  2.47191194  4.54662905 -3.18569614  1.45341092  3.83149628]","[-2.5094112   8.01224131]","Convex"
"2261","2261","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58265228  2.52049278  4.58846953 -3.17244521  1.48860276  3.87309009]","[-2.52140152  8.07487258]","Convex"
"2262","2262","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57664116  2.49056618  4.56987439 -3.18794418  1.46983773  3.85515888]","[-2.51862139  8.04999691]","Convex"
"2263","2263","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58594957  2.52646079  4.58679543 -3.18177158  1.48957881  3.87102153]","[-2.52358432  8.07996613]","Convex"
"2264","2264","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57874311  2.53723607  4.62894655 -3.16121063  1.52036311  3.91403802]","[-2.53327592  8.12802085]","Convex"
"2265","2265","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5776477   2.54231208  4.5864176  -3.17097167  1.50561236  3.87134014]","[-2.52196425  8.08155653]","Convex"
"2266","2266","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5857003   2.5869165   4.64445316 -3.14468646  1.54337386  3.9292641 ]","[-2.53581373  8.15564163]","Convex"
"2267","2267","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58965243  2.61448115  4.67921496 -3.13695905  1.56027109  3.96357957]","[-2.54665109  8.20414017]","Convex"
"2268","2268","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58235137  2.53602146  4.59039921 -3.17199665  1.49452843  3.8755073 ]","[-2.52293808  8.08311471]","Convex"
"2269","2269","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58938929  2.54761762  4.58287407 -3.17258127  1.50364142  3.86713545]","[-2.5202942   8.07825198]","Convex"
"2270","2270","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59350113  2.61783874  4.63489398 -3.13985626  1.54508047  3.91929576]","[-2.53209717  8.15045535]","Convex"
"2271","2271","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60111099  2.61511649  4.64396053 -3.12971562  1.55575359  3.9282928 ]","[-2.53116677  8.15537754]","Convex"
"2272","2272","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57206804  2.51511706  4.55722686 -3.19461949  1.45671169  3.84172708]","[-2.51821177  8.04463548]","Convex"
"2273","2273","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57894512  2.54415122  4.53973375 -3.17633226  1.4592858   3.82426719]","[-2.50773946  8.02157395]","Convex"
"2274","2274","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57632941  2.54944709  4.55824932 -3.17169968  1.46824044  3.84181537]","[-2.51314083  8.04406605]","Convex"
"2275","2275","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58581653  2.58643941  4.59027482 -3.14961713  1.4976342   3.87347572]","[-2.51864335  8.08503446]","Convex"
"2276","2276","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58450857  2.56816802  4.56857915 -3.14985178  1.485724    3.85276285]","[-2.5104421   8.05177074]","Convex"
"2277","2277","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58821468  2.59186832  4.62519497 -3.12935305  1.53363557  3.90934854]","[-2.52458394  8.12266031]","Convex"
"2278","2278","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59386731  2.60681254  4.60608147 -3.10813962  1.5299455   3.88943812]","[-2.51186523  8.0900846 ]","Convex"
"2279","2279","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60068175  2.64433847  4.68528743 -3.07009706  1.59493512  3.96902598]","[-2.52903561  8.18488652]","Convex"
"2280","2280","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58723381  2.60597692  4.58468426 -3.12699887  1.50534188  3.86818673]","[-2.5109567   8.07217164]","Convex"
"2281","2281","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5997832   2.65713534  4.66287284 -3.10758573  1.56607096  3.94650141]","[-2.53362798  8.18002869]","Convex"
"2282","2282","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6023246   2.67031972  4.66633102 -3.09884797  1.56344523  3.95077563]","[-2.53292055  8.18315354]","Convex"
"2283","2283","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61711268  2.72964543  4.75094451 -3.07323717  1.64000794  4.03521019]","[-2.55604404  8.29966048]","Convex"
"2284","2284","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60925237  2.68209289  4.71292685 -3.07640985  1.60704963  3.99639489]","[-2.54184551  8.23539993]","Convex"
"2285","2285","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61710874  2.74173465  4.75329391 -3.04014237  1.66145688  4.03664377]","[-2.54734198  8.28921077]","Convex"
"2286","2286","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62844256  2.78036935  4.79083518 -3.04448455  1.68320289  4.07467436]","[-2.56279728  8.35243654]","Convex"
"2287","2287","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64030192  2.87024556  4.79952744 -2.99718774  1.73532202  4.0835125 ]","[-2.5555099   8.37030509]","Convex"
