"","Pixel_Number","Log_Frequency","Log_Brightness_Temperature","Fit","Concave/Convex"
"84","84","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5351684   2.42117112  4.50021515 -3.22980713  1.40665911  3.78512393]","[-2.50738298  7.96207844]","Convex"
"85","85","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53264671  2.40154817  4.47500593 -3.23050519  1.39028277  3.76046297]","[-2.49811773  7.9236094 ]","Convex"
"86","86","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53225062  2.39296783  4.47927542 -3.23627697  1.38825307  3.76433728]","[-2.50080249  7.92901491]","Convex"
"87","87","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52989083  2.37306812  4.47068606 -3.24195159  1.37807459  3.75606488]","[-2.4986741   7.91442639]","Convex"
"88","88","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53311554  2.4049979   4.45656594 -3.23232365  1.36223122  3.74190749]","[-2.49268619  7.89927107]","Convex"
"89","89","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53119565  2.39251414  4.44817549 -3.24189676  1.36240059  3.73399917]","[-2.49212794  7.8911635 ]","Convex"
"90","90","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53119582  2.39450758  4.40031434 -3.24468771  1.33100518  3.68563997]","[-2.47669581  7.83041864]","Convex"
"91","91","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52823795  2.37833097  4.39215782 -3.25424455  1.32700729  3.67757049]","[-2.47607326  7.82067897]","Convex"
"92","92","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52982154  2.37331126  4.46038848 -3.24653213  1.36561176  3.74558369]","[-2.49658775  7.90283274]","Convex"
"93","93","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52618268  2.35620433  4.45087843 -3.24938906  1.36079641  3.73582727]","[-2.49345745  7.88690492]","Convex"
"94","94","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52650451  2.36353189  4.41843992 -3.25126115  1.33802621  3.70326758]","[-2.48337608  7.8475383 ]","Convex"
"95","95","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52206006  2.34401836  4.42495641 -3.25526741  1.33483567  3.70923428]","[-2.48603075  7.85119418]","Convex"
"96","96","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55360818  2.45771883  4.4761132  -3.22188742  1.39072193  3.76142905]","[-2.49727304  7.93616635]","Convex"
"97","97","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54572466  2.43440099  4.42352461 -3.23212802  1.35563204  3.70896931]","[-2.4817832   7.86641318]","Convex"
"98","98","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55441021  2.48001006  4.5049952  -3.21454563  1.41642397  3.79064375]","[-2.50619702  7.9779561 ]","Convex"
"99","99","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54713757  2.46175754  4.46847658 -3.23058435  1.38118203  3.75392566]","[-2.49823372  7.93264739]","Convex"
"100","100","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54005959  2.4242417   4.41844761 -3.2143684   1.34105663  3.70606932]","[-2.47510714  7.84595705]","Convex"
"101","101","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53498524  2.4096428   4.39992021 -3.21297894  1.33425006  3.68782202]","[-2.46796675  7.81744247]","Convex"
"102","102","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5418212   2.44610374  4.44164018 -3.22012244  1.36534276  3.72873724]","[-2.48574119  7.88773686]","Convex"
"103","103","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53609901  2.41439772  4.4353432  -3.23775133  1.34851942  3.72155123]","[-2.48748523  7.87795587]","Convex"
"104","104","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55549174  2.51183091  4.52434979 -3.20601052  1.43924602  3.81027176]","[-2.51203259  8.01004034]","Convex"
